國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
中華民國,灼人秘密,2019/07/16,4,53,"12,230","31,202","7,250,149"
中華民國,如常,2019/06/28,1,0,0,"40,803","8,801,468"
中華民國,五月天 人生無限公司,2019/05/24,5,81,"42,460","159,801","54,167,349"
中華民國,千年一問,2020/10/08,28,"3,999","931,743","7,348","1,727,644"
中華民國,刻在你心底的名字,2020/09/30,103,"67,828","15,921,053","295,387","69,144,950"
中華民國,明晚空中見,2020/09/30,3,13,"2,990",702,"144,720"
中華民國,消失的情人節,2020/09/18,92,"10,555","2,465,064","88,659","20,523,312"
中華民國,惡之畫,2020/09/18,5,43,"9,620","2,518","540,721"
中華民國,海霧,2020/09/17,11,73,"16,390","49,835","11,362,863"
中華民國,本來面目,2020/09/05,19,"2,290","498,510","34,343","7,699,752"
中華民國,馗降：粽邪2,2020/08/20,71,"4,771","1,066,998","313,454","71,207,105"
中華民國,逃出立法院,2020/08/14,3,82,"10,530","18,810","4,175,969"
中華民國,哈囉少女,2020/08/07,3,122,"12,640","23,494","5,339,272"
中華民國,怪胎,2020/08/05,12,194,"45,998","193,016","44,892,581"
中華民國,打噴嚏,2020/07/14,6,348,"27,485","204,747","47,060,318"
中華民國,可不可以，你也剛好喜歡我,2020/03/12,34,"1,106","255,436","337,885","78,556,796"
中華民國,無聲,2008/10/09,59,"32,242","7,660,822","32,242","7,660,822"
中華民國,影子背後,2021/09/17,14,255,"58,730","2,294","530,115"
中華民國,波濤最深處,2021/09/10,1,82,"17,220",987,"216,339"
中華民國,邪佞,2021/08/27,1,"1,639","262,240","3,620","579,060"
中華民國,期末考,2021/08/20,1,120,"23,400","3,940","842,462"
中華民國,綠色牢籠,2021/05/14,14,444,"97,946","1,012","222,998"
中華民國,癡情馬殺雞,2021/05/12,6,71,"11,410",124,"19,360"
中華民國,角頭－浪流連,2021/02/05,1,10,"1,600","683,690","161,762,315"
中華民國,醬狗,2020/11/02,11,246,"55,380",755,"169,984"
中華民國,腿,2020/12/24,62,"11,839","2,752,602","27,082","6,270,944"
中華民國,親愛的殺手,2020/12/04,13,412,"95,749","27,429","6,370,649"
中華民國,十二夜2：回到第零天,2020/11/27,11,363,"85,498","16,605","3,719,034"
中華民國,同學麥娜絲,2020/11/20,41,"2,031","471,507","190,173","44,390,789"
中華民國,孤味,2020/11/06,96,"16,547","3,837,622","812,953","188,029,518"
中華民國,親愛的房客,2020/10/23,21,"1,187","271,399","161,722","38,427,469"
中華民國,無聲,2020/10/15,1,15,"3,460","209,779","49,898,035"
中華民國,刻在你心底的名字,2020/09/30,10,400,"100,261","439,345","103,200,596"
中華民國,消失的情人節,2020/09/18,8,376,"85,355","137,678","32,085,910"
中華民國,海霧,2020/09/17,1,68,"7,580","51,305","11,502,988"
中華民國,馗降：粽邪2,2020/09/02,2,61,"3,190","319,042","72,143,225"
中華民國,可不可以，你也剛好喜歡我,2020/08/21,5,437,"35,360","341,932","79,222,529"
中華民國,怪胎,2020/08/05,3,112,"9,290","195,349","45,122,061"
中華民國,消失的情人節,2020/09/18,100,"20,607","4,749,142","35,491","8,202,560"
中華民國,惡之畫,2020/09/18,25,"1,116","232,900","2,024","427,386"
中華民國,海霧,2020/09/11,79,"6,565","1,474,340","47,032","10,738,399"
中華民國,本來面目,2020/09/05,13,"2,287","511,535","25,976","5,795,145"
中華民國,可不可以，你也剛好喜歡我,2020/08/21,85,"6,724","1,548,066","330,212","76,805,961"
中華民國,馗降：粽邪2,2020/08/20,95,"26,871","6,123,258","278,357","63,345,672"
中華民國,哈囉少女,2020/08/07,3,116,"7,470","22,871","5,287,207"
中華民國,怪胎,2020/08/05,13,557,"131,195","191,697","44,581,246"
中華民國,打噴嚏,2020/07/14,4,380,"24,540","202,954","46,914,738"
中華民國,破處,2020/07/03,3,104,"10,160","67,490","12,627,170"
中華民國,練愛iNG,2020/03/13,1,11,"1,650","39,716","9,111,959"
中華民國,那個我最親愛的陌生人,2019/11/12,1,75,"16,500","5,980","1,270,237"
中華民國,大約在冬季,2019/12/27,12,"2,355","553,943","5,923","1,396,456"
中華民國,海上花,2019/12/20,5,515,"111,080","2,352","521,920"
中華民國,金魚,2019/12/20,1,141,"14,050",549,"54,500"
中華民國,黑熊來了,2019/12/13,31,"9,152","2,126,628","38,986","8,881,039"
中華民國,為你存在的每一天,2019/12/13,10,872,"187,010","8,388","1,826,943"
中華民國,祭旗,2019/12/13,3,250,"57,545","3,236","720,737"
中華民國,重甲機神：神降臨,2019/11/08,1,3,720,"7,152","1,665,009"
中華民國,陽光普照,2019/11/01,5,684,"162,096","109,932","26,051,472"
中華民國,盲人律師,2019/10/18,2,227,"48,265","27,827","6,094,866"
中華民國,江湖無難事,2019/10/09,2,93,"14,020","41,587","9,160,098"
中華民國,返校,2019/09/20,9,"3,128","255,755","1,113,267","259,854,760"
中華民國,大俠胡金銓 第一部曲—先知曾經來過,2022/10/21,24,296,"61,947","4,296","954,547"
中華民國,幻日手記,2022/10/21,1,38,"8,520",177,"39,280"
中華民國,無邊,2022/10/17,1,38,"9,300",429,"130,510"
中華民國,童話·世界,2022/10/13,12,353,"80,578","6,305","1,554,682"
中華民國,孫行者傳,2022/10/13,15,203,"55,351","3,301","826,695"
中華民國,你在我心上,2022/10/07,89,"11,223","2,743,323","48,875","11,817,123"
中華民國,科學少女,2022/09/16,7,"1,660","352,010","31,520","7,268,581"
中華民國,他還年輕,2022/09/02,2,302,"65,710","11,066","2,426,162"
中華民國,民雄鬼屋,2022/07/29,1,83,"4,565","121,119","29,705,896"
中華民國,如歌的行板,2015/12/18,3,44,"10,315",44,"10,315"
中華民國,臥虎藏龍,2000/07/07,1,3,850,"1,607","403,416"
中華民國,多肉女子生存之道,2021/04/09,6,776,"117,920","1,291","165,500"
中華民國,當男人戀愛時,2021/04/01,99,"413,710","98,899,624","1,083,515","258,276,451"
中華民國,男人與他的海,2021/04/01,27,"5,750","1,315,004","15,367","3,466,457"
中華民國,動保蝙蝠俠,2021/03/19,2,375,"53,920","2,444","349,750"
中華民國,削瘦的靈魂,2021/03/19,3,114,"25,430","1,892","428,524"
中華民國,愛.殺,2021/03/19,4,80,"21,065","5,280","1,242,272"
中華民國,尼泊爾布思議,2021/03/12,1,76,"6,080","2,268","320,800"
中華民國,揭大歡喜,2021/03/12,1,5,"1,100","10,008","2,285,156"
中華民國,東經北緯,2021/03/05,4,316,"67,740","12,824","3,021,438"
中華民國,聽見臺灣,2021/03/05,2,52,"10,875","2,537","532,775"
中華民國,跟你老婆去旅行,2021/02/10,4,316,"22,845","55,745","13,098,840"
中華民國,角頭－浪流連,2021/02/05,7,77,"17,330","683,214","161,725,715"
中華民國,緝魂,2021/01/29,7,544,"45,910","213,389","50,676,219"
中華民國,親愛的房客,2020/10/23,1,25,"2,750","164,291","38,726,892"
中華民國,馗降：粽邪2,2020/08/20,1,250,"47,500",580,"120,100"
中華民國,逃出立法院,2020/08/14,74,"2,242","509,623","18,116","4,074,619"
中華民國,我的兒子是死刑犯,2020/08/14,16,860,"185,375","3,693","829,030"
中華民國,哈囉少女,2020/08/07,47,"1,018","238,902","22,632","5,240,327"
中華民國,逆者,2020/08/07,2,201,"40,825","1,753","368,735"
中華民國,怪胎,2020/08/05,97,"37,312","8,703,777","170,069","39,496,978"
中華民國,阿紫,2020/07/31,6,40,"9,777","1,309","291,488"
中華民國,打噴嚏,2020/07/14,18,236,"55,910","202,572","46,889,758"
中華民國,破處,2020/07/03,2,217,"11,330","67,247","12,607,980"
中華民國,驚夢49天,2020/06/24,1,52,"7,660","19,242","4,372,695"
中華民國,老娘就要這麼活,2020/05/08,1,43,"9,460","2,701","607,406"
中華民國,可不可以，你也剛好喜歡我,2020/03/12,101,"137,947","32,157,163","225,551","52,543,936"
中華民國,返校,2019/09/20,100,"146,030","34,122,947","1,037,031","242,585,617"
中華民國,與失智共舞,2019/09/20,1,375,"81,470",943,"203,175"
中華民國,我親愛的父親,2019/09/20,9,339,"73,720","1,194","259,879"
中華民國,未來無恙,2019/08/30,1,103,"22,660","5,060","1,091,838"
中華民國,第九分局,2019/08/29,23,708,"162,678","247,220","56,608,057"
中華民國,下半場,2019/08/23,2,118,"28,605","99,405","22,641,201"
中華民國,緝魔,2019/08/16,5,534,"40,210","50,130","11,255,834"
中華民國,灼人秘密,2019/07/19,3,245,"14,520","31,750","7,333,329"
中華民國,馗降：粽邪2,2020/08/20,100,"111,565","25,378,939","112,145","25,499,039"
中華民國,我的兒子是死刑犯,2020/08/14,8,587,"120,085","4,280","949,115"
中華民國,逃出立法院,2020/08/14,23,237,"54,080","18,353","4,128,699"
中華民國,哈囉少女,2020/08/07,9,123,"39,410","22,755","5,279,737"
