國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
美國,朵拉與失落的黃金城,2019/08/09,82,"1,592","347,645","54,109","12,131,946"
日本,蠟筆小新電影 新婚旅行風暴-奪回廣志大作戰,2019/08/09,32,"1,196","277,625","30,297","6,996,482"
日本,乘浪之約,2019/08/09,24,405,"94,200","11,130","2,589,693"
法國,懸案判決,2019/08/09,10,140,"28,395","3,765","778,093"
俄羅斯,絕世名伶,2019/08/09,8,142,"28,020","4,063","830,096"
法國,出發吧！我的脫單假期,2019/08/09,8,75,"16,385","2,012","436,904"
南韓,怎麼就，結婚了,2019/08/09,5,36,"8,530",990,"226,586"
日本,一定要結婚嗎,2019/08/09,4,28,"5,785","1,322","292,481"
美國,是誰在搞鬼,2019/08/09,1,4,860,261,"58,567"
日本,櫻花開了,2019/08/09,4,39,"7,110","1,404","285,803"
美國,靈異乍現,2019/0807,48,238,"54,210","19,014","4,287,911"
美國,在黑暗中說的鬼故事,2019/08/07,92,"5,822","1,335,090","184,294","42,226,156"
西班牙,痛苦與榮耀,2019/08/02,9,223,"48,535","9,861","2,120,479"
印度,電梯男孩的奇蹟,2019/08/02,2,29,"6,030","1,831","377,248"
南韓,王的文字,2019/08/02,3,6,"1,240","1,950","430,723"
美國,玩命關頭:特別行動,2019/07/31,100,"16,859","4,022,529","1,693,548","405,855,955"
日本,電影哆啦A夢：大雄的月球探測記,2019/07/26,47,"1,403","304,135","89,349","20,089,128"
美國,人生消極掰,2019/07/26,15,196,"43,145","31,222","7,221,110"
美國,駭客任務,2019/07/26,3,30,"6,855","12,536","2,965,727"
以色列,出走巴黎,2019/07/26,2,24,"4,920","3,416","716,531"
南韓,鬼學怨,2019/07/26,3,15,"3,060","18,900","4,344,252"
日本,漫長的告別,2019/07/26,1,10,"2,250","4,297","899,816"
美國,從前，有個好萊塢,2019/07/24,41,620,"154,455","145,391","35,182,356"
美國,電流大戰,2019/07/19,13,82,"20,070","96,243","22,205,635"
荷蘭,首席指揮家,2019/07/19,5,50,"10,625","6,635","1,381,670"
德國,瑪雅蜜蜂大冒險：蜜糖危機,2019/07/19,4,10,"2,230","2,328","526,024"
日本,城市獵人劇場版 新宿Private Eyes,2019/07/19,1,6,"1,770","7,205","1,786,088"
美國,獅子王,2019/07/17,94,"5,402","1,222,140","1,252,601","300,834,147"
中華民國,灼人秘密,2019/07/16,4,53,"12,230","31,202","7,250,149"
日本,王者天下,2019/07/11,1,10,"2,530","21,888","5,058,007"
香港,掃毒2 天地對決,2019/07/05,2,7,"1,690","175,852","40,299,813"
義大利,米開朗基羅：無盡之詩,2019/07/05,1,3,730,"7,020","1,454,836"
日本,名偵探柯南：紺青之拳,2019/07/03,37,"1,015","240,250","453,481","104,932,380"
美國,蜘蛛人：離家日,2019/07/02,44,641,"162,763","1,581,627","378,018,677"
南韓,寄生上流,2019/06/28,50,"1,797","423,575","601,694","141,496,098"
德國,大叔好神騎,2019/06/28,2,21,"1,940",993,"175,435"
中華民國,如常,2019/06/28,1,0,0,"40,803","8,801,468"
香港,九龍不敗,2019/06/25,3,41,"3,265","7,300","1,475,917"
美國,安娜貝爾回家囉,2019/06/25,1,4,760,"358,076","83,828,781"
加拿大,金錢性騙局,2019/06/21,1,44,"4,600","1,715","265,938"
法國,別問我是誰,2019/06/21,2,16,"2,320","4,270","883,925"
美國,玩具總動員 4,2019/06/20,37,865,"196,450","1,330,910","310,221,281"
日本,劇場版 歌之☆王子殿下♪真愛KINGDOM,2019/06/14,1,52,"13,320","8,319","2,161,569"
丹麥,懸案密碼-第64號,2019/06/14,2,24,"3,480","20,056","4,464,828"
美國,MIB星際戰警：跨國行動,2019/06/12,1,9,900,"399,041","93,868,945"
美國,X戰警：黑鳳凰,2019/06/06,6,187,"13,210","446,323","105,056,612"
美國,恐怖大媽,2019/05/31,4,113,"8,615","76,667","17,653,509"
美國,紅色密令,2019/05/31,2,44,"2,735","6,824","1,244,405"
美國,哥吉拉II怪獸之王,2019/05/29,3,99,"8,900","1,062,302","258,966,133"
日本,CODE GEASS 復活的魯路修,2019/05/29,1,19,"4,390","26,449","6,582,664"
中華民國,五月天 人生無限公司,2019/05/24,5,81,"42,460","159,801","54,167,349"
法國,城市獵人,2019/05/24,1,8,"1,200","20,870","4,467,339"
香港,非分熟女,2019/05/24,1,12,960,"3,805","792,850"
日本,馬拉松武士,2019/05/24,1,6,900,"1,873","388,783"
美國,阿拉丁,2019/05/22,6,60,"14,665","1,235,081","289,156,224"
美國,狗狗的旅程,2019/05/17,7,234,"16,070","53,941","12,268,766"
美國,醜娃娃大冒險,2019/05/17,1,4,400,"6,976","1,382,680"
美國,捍衛任務3：全面開戰,2019/05/15,2,245,"13,035","619,227","142,204,895"
瑞典,極地先鋒,2019/05/10,1,10,500,"3,931","594,671"
