上映日期,中文片名,銷售票數,假日,類型,元素,片長(分鐘)
2020-03-13,練愛iNG,25590,0,0,喜劇 ,99
2020-08-21,可不可以，你也剛好喜歡我,324222,1,0,愛情/浪漫,108
2020-11-06,孤味,748868,0,0,家庭,123
2020-11-20,同學麥娜絲,143732,0,0,喜劇,122
2020-11-27,十二夜2：回到第零天,10642,0,0,紀錄片,94
2021-04-01,當男人戀愛時,1520719,0,0,喜劇，愛情/浪漫，家庭,115
2021-04-01,男人與他的海,20075,0,0,紀錄片,108
2021-04-16,聽見歌 再唱,293283,0,0,勵志,113
2021-01-29,緝魂,183227,1,1,驚悚/懸疑,130
2021-02-05,角頭－浪流連,579779,1,1,動作,120
2021-02-10,我沒有談的那場戀愛,115808,1,0,愛情/浪漫,99
2021-02-10,跟你老婆去旅行,37474,1,0,喜劇，愛情/浪漫,94
2021-02-10,金不厭詐,2017,1,0,喜劇,110
2021-11-05,地球迷航,2438,0,0,家庭，勵志,110
2021-11-12,詭扯,40768,0,0,喜劇，恐怖,106
2021-11-19,金錢男孩MONEYBOYS,3840,0,0,愛情/浪漫，家庭,120 
2021-11-19,青春弒戀,6978,0,1,愛情/浪漫，驚悚/懸疑,127
2021-11-24,月老,891274,0,0,愛情/浪漫，奇幻,127
2021-11-26,魔法阿媽 4K數位修復版,7654,0,0,喜劇，冒險,79
2022-03-11,該死的阿修羅,11102,0,1,犯罪,114
2022-03-11,青春換日線,1832,0,1,犯罪,111
2022-03-18,咒,620112,0,1,恐怖,111
2022-03-18,少年吔,92238,0,1,犯罪,119
2022-03-25,野夏天,3641,0,0,家庭，勵志,114
2023-02-10,山椒魚來了,44106,1,0,紀錄片,105
2023-02-22,黑的教育,1089,1,1,動作，犯罪，驚悚/懸疑,77
2023-02-10,關於我和鬼變成家人的那件事,1280553,1,0,喜劇,129
